date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:32	2335/2335	---MCZ	200	added ('OK')	text/xml	date:Sat,%2014%20Sep%202019%2021:25:31%20GMT	https://www.fige.psu.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.fige.psu.edu%2Fapply%2F&format=xml	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-json/oembed/1.0/embed1653	(from https://www.fige.psu.edu/apply/)
17:25:32	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2014%20Sep%202019%2021:25:32%20GMT	http://www.fige.psu.edu/maintenance/	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/maintenance/index.html	(from https://www.fige.psu.edu/)
17:25:33	321070/321070	---M--	200	added ('OK')	image/jpeg	etag:%227435d7ae495c93a75ee50a3a921dafcb%22	https://sites.psu.edu/fige/files/2017/10/14608867_10155383518114129_6877313339602341608_o-14leg1e.jpg	C:/My%20Web%20Sites/fige-legacy-archive/sites.psu.edu/fige/files/2017/10/14608867_10155383518114129_6877313339602341608_o-14leg1e.jpg	(from https://www.fige.psu.edu/)
17:25:33	92564/92564	---M--	200	added ('OK')	application/octet-stream	etag:%225bced588-16994%22	https://www.fige.psu.edu/wp-content/themes/divi/core/admin/fonts/modules.eot	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/core/admin/fonts/modules.eot	(from https://www.fige.psu.edu/wp-content/themes/divi/style.css)
17:25:33	92564/92564	---M--	200	added ('OK')	application/octet-stream	etag:%225bced588-16994%22	https://www.fige.psu.edu/wp-content/themes/divi/core/admin/fonts/modules.eot?	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/core/admin/fonts/modulesd41d.eot	(from https://www.fige.psu.edu/wp-content/themes/divi/style.css)
17:25:33	393366/393366	---M--	200	added ('OK')	image/jpeg	etag:%221a38e88c1ea6a7b63e8d799eb4ec7ffe%22	https://sites.psu.edu/fige/files/2017/09/stock-photo-89815955-21d74vq.jpg	C:/My%20Web%20Sites/fige-legacy-archive/sites.psu.edu/fige/files/2017/09/stock-photo-89815955-21d74vq.jpg	(from https://www.fige.psu.edu/)
17:25:33	92400/92400	---M--	200	added ('OK')	application/octet-stream	etag:%225bced588-168f0%22	https://www.fige.psu.edu/wp-content/themes/divi/core/admin/fonts/modules.ttf	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/core/admin/fonts/modules.ttf	(from https://www.fige.psu.edu/wp-content/themes/divi/style.css)
17:25:34	92476/92476	---M--	200	added ('OK')	application/octet-stream	etag:%225bced588-1693c%22	https://www.fige.psu.edu/wp-content/themes/divi/core/admin/fonts/modules.woff	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/core/admin/fonts/modules.woff	(from https://www.fige.psu.edu/wp-content/themes/divi/style.css)
17:25:34	301078/301078	---M--	200	added ('OK')	image/svg+xml	etag:%225bced588-49816%22	https://www.fige.psu.edu/wp-content/themes/divi/core/admin/fonts/modules.svg	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/core/admin/fonts/modules.svg	(from https://www.fige.psu.edu/wp-content/themes/divi/style.css)
17:25:34	1422/1422	---M--	200	added ('OK')	image/gif	etag:%225b3cd459-58e%22	https://www.fige.psu.edu/wp-content/themes/divi/includes/builder/styles/images/subscribe-loader.gif	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/includes/builder/styles/images/subscribe-loader.gif	(from https://www.fige.psu.edu/wp-content/themes/divi/style.css)
